Station_ID,Latitude,Longitude,Elevation,State,Station_Name,Flag_Global,Flag,WMO,category
USC00087397,26.9147,-81.9969,6.1,FL,PUNTA GORDA 4 ESE             ,   ,   ,     ,COOP
USC00087424,30.5833,-84.5833,75.9,FL,QUINCY EXP STN                ,   ,   ,     ,COOP
USC00087429,30.545,-84.5986,72.2,FL,QUINCY 3 SSW                  ,   ,   ,     ,COOP
USC00087440,30.0678,-82.1928,36.6,FL,RAIFORD STATE PRISON          ,   ,   ,     ,COOP
USC00087600,26.6833,-80.6667,5.5,FL,RITTA                         ,   ,   ,     ,COOP
USC00087665,29.0667,-82.4667,3.0,FL,ROCKWELL                      ,   ,   ,     ,COOP
USC00087758,26.8561,-80.3008,3.0,FL,ROYAL PALM BEACH WEST         ,   ,   ,     ,COOP
USC00087760,25.3867,-80.5936,2.1,FL,ROYAL PALM RS                 ,   ,   ,     ,COOP
USC00087812,29.8833,-81.3333,6.1,FL,ST AUGUSTINE                  ,   ,   ,     ,COOP
USC00087820,29.8333,-81.2667,3.0,FL,ST AUGUSTINE BEACH            ,   ,   ,     ,COOP
USC00087826,29.8764,-81.31,3.7,FL,ST AUGUSTINE WTP              ,   ,   ,     ,COOP
USC00087832,28.25,-81.2667,19.2,FL,ST. CLOUD                     ,   ,   ,     ,COOP
USC00087838,29.0333,-81.3833,6.1,FL,ST. FRANCIS                   ,   ,   ,     ,COOP
USC00087851,28.3381,-82.2603,52.7,FL,SAINT LEO                     ,   ,HCN,     ,COOP
USC00087859,27.1167,-80.2833,6.4,FL,ST LUCIE NEW LOCK 1           ,   ,   ,     ,COOP
USC00087867,30.1,-84.1667,3.0,FL,ST MARKS 5 SSE                ,   ,   ,     ,COOP
USC00087869,30.1922,-84.2117,3.0,FL,ST MARKS NWR                  ,   ,   ,     ,COOP
USC00087886,27.7683,-82.6256,1.2,FL,ST PETERSBURG                 ,   ,   ,     ,COOP
USC00087887,27.8019,-82.7347,6.7,FL,ST PETERSBURG 2               ,   ,   ,     ,COOP
USC00087950,30.0667,-84.6,11.9,FL,SANBORN TWR                   ,   ,   ,     ,COOP
USC00087977,28.8167,-81.25,3.0,FL,SANFORD EXP STN               ,   ,   ,     ,COOP
